Description,Name,GPS Location,Population within 3000 meters of GPS Location
PS0105078,Samaria,"{""type"":""Point"",""coordinates"":[36.97215,-3.43281,0]}",7355
PS0103031,Laja,"{""type"":""Point"",""coordinates"":[35.561777,-3.641766,0]}",7379
PS0107015,Nainokanoka,"{""type"":""Point"",""coordinates"":[35.6910901,-3.0302011,0]}",7451
PS0107048,Oloirobi,"{""type"":""Point"",""coordinates"":[35.4582016,-3.2093383,0]}",7470
PS0105047,Mikuuni,"{""type"":""Point"",""coordinates"":[37.00078,-3.34516,0]}",7479
PS0103062,Qaru Saramay,"{""type"":""Point"",""coordinates"":[35.6009966,-3.5216133,0]}",7615
PS0101055,Mungushi,"{""type"":""Point"",""coordinates"":[36.833401,-3.5292372,0]}",7723
PS0103007,Changarawe,"{""type"":""Point"",""coordinates"":[35.5777433,-3.3850433,0]}",7765
PS0103077,Mahhahha,"{""type"":""Point"",""coordinates"":[35.7279133,-3.5116416,0]}",7800
PS0106034,Orkeeswa,"{""type"":""Point"",""coordinates"":[36.399394,-3.309568,0]}",7843
PS0103012,Endamaghan,"{""type"":""Point"",""coordinates"":[35.3365396,-3.3770329,0]}",7872
PS0102012,Nadosoito,"{""type"":""Point"",""coordinates"":[36.6810616,-3.4956333,0]}",7897
PS0105099,Nazareti,"{""type"":""Point"",""coordinates"":[36.91697,-3.46159,0]}",7908
PS0103084,Gamdi,"{""type"":""Point"",""coordinates"":[35.6201695,-3.6332356,0]}",7955
PS0101050,Mirongoine,"{""type"":""Point"",""coordinates"":[36.6531133,-3.5679519,0]}",8033
PS0106023,Monduli Juu,"{""type"":""Point"",""coordinates"":[36.394253,-3.25139,0]}",8080
PS0105039,Maweni,"{""type"":""Point"",""coordinates"":[36.82788,-3.4549,0]}",8089
PS0103002,Barakta,"{""type"":""Point"",""coordinates"":[35.5685833,-3.67420499,0]}",8167
PS0103114,African Galleria,"{""type"":""Point"",""coordinates"":[35.764059,-3.335606,0]}",8236
PS0103011,Endallah,"{""type"":""Point"",""coordinates"":[35.7383688,-3.4599077,0]}",8313
PS0104030,Kitarini,"{""type"":""Point"",""coordinates"":[36.45,-2.6166666,0]}",8317
PS0105040,Mareu,"{""type"":""Point"",""coordinates"":[36.97366,-3.31654,0]}",8332
PS0107004,Digodigo,"{""type"":""Point"",""coordinates"":[35.71667,-2.13333,0]}",8342
PS0105005,Dolly,"{""type"":""Point"",""coordinates"":[36.87966,-3.4289,0]}",8354
PS0101048,Mbuyuni,"{""type"":""Point"",""coordinates"":[36.6561466,-3.5632833,0]}",8432
PS0107005,Endulen,"{""type"":""Point"",""coordinates"":[35.272716,-3.212792,0]}",8479
PS0101080,Oljoro,"{""type"":""Point"",""coordinates"":[36.6780255,-3.5809598,0]}",8538
PS0105024,Kolila,"{""type"":""Point"",""coordinates"":[37.03922,-3.33539,0]}",8556
PS0101065,Nengungu,"{""type"":""Point"",""coordinates"":[36.4704983,-3.3438383,0]}",8717
PS0106003,Engaruka Juu,"{""type"":""Point"",""coordinates"":[35.962545,-2.99772,0]}",8743
PS0101014,Ilkerini,"{""type"":""Point"",""coordinates"":[36.5261733,-3.3567017,0]}",8789
PS0103014,Endonyawe,"{""type"":""Point"",""coordinates"":[35.67697,-3.58556,0]}",8808
PS0106031,Selela,"{""type"":""Point"",""coordinates"":[35.945719,-3.204815,0]}",8809
